well_id,depth_m,porosity,permeability_mD,density_gcc,water_saturation,oil_saturation,year,lab_id,x_m,y_m,геол_зона
Well_5,3366.9,0.0465,0.62,2.44,0.2015,0.5176,1996,Lab_B,3000,1000,Зона_В
Well_2,3430.5,0.09802,23.0,2.683,0.1068,0.7105,2009,Lab_C,1000,2000,Зона_А
Well_4,2161.5,0.1441,1.24,2.488,0.3125,0.399,1993,Lab_A,2000,2000,Зона_Б
Well_8,2574.2,0.1145,194.15,2.383,0.2257,0.6238,2014,Lab_A,2500,1500,Зона_Б
Well_7,2533.4,0.0245,0.64,2.334,0.4502,0.2982,1999,Lab_A,1500,1500,Зона_А
Well_4,2463.3,0.1366,6.88,2.478,0.6033,0.3761,1998,Lab_B,2000,2000,Зона_Б
Well_7,2293.6,0.0667,0.69,2.627,0.8413,0.1059,2002,Lab_A,1500,1500,Зона_А
Well_1,2122.8,0.1636,13.37,432.73,0.1309,0.6715,2015,Lab_B,1000,1000,Зона_А
Well_4,2043.1,0.146,4.95,2.701,0.1383,0.4869,1991,Lab_A,2000,2000,Зона_Б
Well_9,2333.3,0.0263,3.23,2.584,0.2381,0.657,1993,Lab_B,1000,3000,Зона_Б
Well_3,2974.2,2.2946,2.54,2.606,0.1522,0.3787,1990,Lab_B,2000,1000,Зона_Б
Well_3,3360.0,0.0,7.45,2.798,0.27,0.5878,2002,Lab_C,2000,1000,Зона_Б
Well_8,2183.8,0.1666,5.58,2.447,0.2409,0.4927,1992,Lab_A,2500,1500,Зона_Б
Well_10,3413.6,0.0612,-33.94,2.467,0.1809,0.6947,1992,Lab_B,2000,3000,Зона_Б
Well_6,1914.5,2.2986,1.17,2.516,0.1243,0.8083,2013,Lab_A,3000,2000,Зона_В
Well_2,2021.4,0.1345,18.37,2.606,0.1601,0.6986,2017,Lab_A,1000,2000,Зона_А
Well_5,2952.2,0.0419,2.22,2.613,0.1321,0.643,1990,Lab_B,3000,1000,Зона_В
Well_8,3417.4,0.1502,0.62,2.484,0.2514,0.4801,2000,Lab_A,2500,1500,Зона_Б
Well_8,2414.5,0.2212599999999999,0.53,2.683,0.3115,0.2986,2017,Lab_C,2500,1500,Зона_Б
Well_3,2153.3,0.049,2.7,2.46,0.2602,0.5822,2002,Lab_A,2000,1000,Зона_Б
Well_8,1925.5,0.04394,18.2,2.549,0.2644,0.4196,2016,Lab_C,2500,1500,Зона_Б
Well_7,3177.0,0.01612,20.19,2.538,0.4039,0.4412,2015,Lab_C,1500,1500,Зона_А
Well_2,1726.9,0.0685,0.07,2.472,0.3716,0.49,2017,Lab_A,1000,2000,Зона_А
Well_10,3173.9,0.1008,14.48,2.571,0.0675,0.8881,2002,Lab_A,2000,3000,Зона_Б
Well_2,2486.1,0.1922,2.03,2.761,0.2465,0.5026,1991,Lab_A,1000,2000,Зона_А
Well_6,2899.0,0.06864,2.14,2.551,0.2195,0.42,2011,Lab_C,3000,2000,Зона_В
Well_7,2106.5,0.1416,5.29,2.561,0.1622,0.4852,1991,Lab_A,1500,1500,Зона_А
Well_5,1832.4,0.1627,39.92,2.473,0.0692,0.4765,2016,Lab_B,3000,1000,Зона_В
Well_6,2031.9,0.01586,4.05,2.533,0.3169,0.6208,2018,Lab_C,3000,2000,Зона_В
Well_1,3197.3,0.19357,-6.3,2.501,0.1262,0.7123,1992,Lab_C,1000,1000,Зона_А
Well_6,2095.3,0.1025,1.58,2.426,0.3817,0.2864,2007,Lab_B,3000,2000,Зона_В
Well_1,2999.2,0.1218,14.77,2.509,0.2825,0.4028,2015,Lab_A,1000,1000,Зона_А
Well_7,1945.2,0.022,7.46,2.489,0.1957,0.7699,1999,Lab_A,1500,1500,Зона_А
Well_3,2059.5,0.0442,10.53,2.636,0.3647,0.4306,1991,Lab_A,2000,1000,Зона_Б
Well_9,2661.1,0.06383,5.43,2.482,0.0437,0.8493,2011,Lab_C,1000,3000,Зона_Б
Well_4,2811.4,0.17017,0.55,2.676,0.2265,0.5706,2011,Lab_C,2000,2000,Зона_Б
Well_7,2623.7,0.0728,14.78,2.514,0.2327,0.5601,1994,Lab_A,1500,1500,Зона_А
Well_8,2799.5,0.1472,25.54,2.553,0.1997,0.5195,2009,Lab_A,2500,1500,Зона_Б
Well_1,1740.3,-0.3713,5.21,2.595,0.3478,0.4249,1992,Lab_B,1000,1000,Зона_А
Well_9,2981.9,0.0324,-44.34,2.516,0.3553,0.4578,1992,Lab_B,1000,3000,Зона_Б
Well_10,3140.9,0.0925,0.67,2.507,0.3913,0.4469,2000,Lab_A,2000,3000,Зона_Б
Well_1,3315.4,0.0777,2.04,2.597,0.2738,0.6733,2004,Lab_A,1000,1000,Зона_А
Well_5,2145.1,0.116,41.68,2.406,0.6535,0.1666,2016,Lab_B,3000,1000,Зона_В
Well_6,3233.7,0.08749,10.5,2.723,0.5741,0.3759,2016,Lab_C,3000,2000,Зона_В
Well_5,2877.0,0.0953,10.15,2.655,0.0685,0.6203,1996,Lab_B,3000,1000,Зона_В
Well_3,2502.1,0.0958,0.87,2.546,0.1784,0.7222,2002,Lab_A,2000,1000,Зона_Б
Well_4,1829.7,0.1016,44.33,2.514,0.3718,0.4654,2005,Lab_B,2000,2000,Зона_Б
Well_7,3273.4,0.0879,2.17,2.405,0.5029,0.4714,1997,Lab_A,1500,1500,Зона_А
